"industry_raw","industry_code","industry_level","year","active_enterprises"
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2020",10370
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2021",11280
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2022",11705
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2023",11560
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2024",11335
"161 : Sawmilling and planing of wood","161","group","2019",550
"161 : Sawmilling and planing of wood","161","group","2020",545
"161 : Sawmilling and planing of wood","161","group","2021",540
"161 : Sawmilling and planing of wood","161","group","2022",555
"161 : Sawmilling and planing of wood","161","group","2023",550
"161 : Sawmilling and planing of wood","161","group","2024",540
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2019",9750
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2020",9825
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2021",10740
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2022",11150
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2023",11010
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2024",10795
"17 : Manufacture of paper and paper products","17","division","2019",1485
"17 : Manufacture of paper and paper products","17","division","2020",1500
"17 : Manufacture of paper and paper products","17","division","2021",1520
"17 : Manufacture of paper and paper products","17","division","2022",1570
"17 : Manufacture of paper and paper products","17","division","2023",1525
"17 : Manufacture of paper and paper products","17","division","2024",1500
"171 : Manufacture of pulp, paper and paperboard","171","group","2019",255
"171 : Manufacture of pulp, paper and paperboard","171","group","2020",240
"171 : Manufacture of pulp, paper and paperboard","171","group","2021",260
"171 : Manufacture of pulp, paper and paperboard","171","group","2022",270
"171 : Manufacture of pulp, paper and paperboard","171","group","2023",240
"171 : Manufacture of pulp, paper and paperboard","171","group","2024",225
"172 : Manufacture of articles of paper and paperboard","172","group","2019",1230
"172 : Manufacture of articles of paper and paperboard","172","group","2020",1260
"172 : Manufacture of articles of paper and paperboard","172","group","2021",1260
"172 : Manufacture of articles of paper and paperboard","172","group","2022",1300
"172 : Manufacture of articles of paper and paperboard","172","group","2023",1285
"172 : Manufacture of articles of paper and paperboard","172","group","2024",1275
"18 : Printing and reproduction of recorded media","18","division","2019",12295
"18 : Printing and reproduction of recorded media","18","division","2020",11945
"18 : Printing and reproduction of recorded media","18","division","2021",11680
"18 : Printing and reproduction of recorded media","18","division","2022",11310
"18 : Printing and reproduction of recorded media","18","division","2023",10765
"18 : Printing and reproduction of recorded media","18","division","2024",10420
"181 : Printing and service activities related to printing","181","group","2019",11395
"181 : Printing and service activities related to printing","181","group","2020",11050
"181 : Printing and service activities related to printing","181","group","2021",10740
"181 : Printing and service activities related to printing","181","group","2022",10360
"181 : Printing and service activities related to printing","181","group","2023",9865
"181 : Printing and service activities related to printing","181","group","2024",9525
"182 : Reproduction of recorded media","182","group","2019",900
"182 : Reproduction of recorded media","182","group","2020",895
"182 : Reproduction of recorded media","182","group","2021",940
"182 : Reproduction of recorded media","182","group","2022",950
"182 : Reproduction of recorded media","182","group","2023",900
"182 : Reproduction of recorded media","182","group","2024",895
"19 : Manufacture of coke and refined petroleum products","19","division","2019",100
"19 : Manufacture of coke and refined petroleum products","19","division","2020",95
"19 : Manufacture of coke and refined petroleum products","19","division","2021",120
"19 : Manufacture of coke and refined petroleum products","19","division","2022",100
"19 : Manufacture of coke and refined petroleum products","19","division","2023",90
"19 : Manufacture of coke and refined petroleum products","19","division","2024",95
"191 : Manufacture of coke oven products","191","group","2019",0
"191 : Manufacture of coke oven products","191","group","2020",0
"191 : Manufacture of coke oven products","191","group","2021",0
"191 : Manufacture of coke oven products","191","group","2022",0
"191 : Manufacture of coke oven products","191","group","2023",0
"191 : Manufacture of coke oven products","191","group","2024",0
"192 : Manufacture of refined petroleum products","192","group","2019",100
"192 : Manufacture of refined petroleum products","192","group","2020",95
"192 : Manufacture of refined petroleum products","192","group","2021",120
"192 : Manufacture of refined petroleum products","192","group","2022",100
"192 : Manufacture of refined petroleum products","192","group","2023",90
"192 : Manufacture of refined petroleum products","192","group","2024",95
"20 : Manufacture of chemicals and chemical products","20","division","2019",3240
"20 : Manufacture of chemicals and chemical products","20","division","2020",3415
"20 : Manufacture of chemicals and chemical products","20","division","2021",3655
"20 : Manufacture of chemicals and chemical products","20","division","2022",3850
"20 : Manufacture of chemicals and chemical products","20","division","2023",3710
"20 : Manufacture of chemicals and chemical products","20","division","2024",3520
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2019",835
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2020",850
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2021",880
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2022",905
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2023",895
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2024",880
"202 : Manufacture of pesticides and other agrochemical products","202","group","2019",80
"202 : Manufacture of pesticides and other agrochemical products","202","group","2020",90
"202 : Manufacture of pesticides and other agrochemical products","202","group","2021",90
"202 : Manufacture of pesticides and other agrochemical products","202","group","2022",90
"202 : Manufacture of pesticides and other agrochemical products","202","group","2023",85
"202 : Manufacture of pesticides and other agrochemical products","202","group","2024",75
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2019",435
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2020",435
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2021",435
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2022",470
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2023",470
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2024",445
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2019",1200
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2020",1340
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2021",1545
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2022",1650
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2023",1560
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2024",1460
"205 : Manufacture of other chemical products","205","group","2019",680
"205 : Manufacture of other chemical products","205","group","2020",690
"205 : Manufacture of other chemical products","205","group","2021",695
"205 : Manufacture of other chemical products","205","group","2022",730
"205 : Manufacture of other chemical products","205","group","2023",690
"205 : Manufacture of other chemical products","205","group","2024",655
"206 : Manufacture of man-made fibres","206","group","2019",10
"206 : Manufacture of man-made fibres","206","group","2020",10
"206 : Manufacture of man-made fibres","206","group","2021",10
"206 : Manufacture of man-made fibres","206","group","2022",5
"206 : Manufacture of man-made fibres","206","group","2023",10
"206 : Manufacture of man-made fibres","206","group","2024",5
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2019",725
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2020",755
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2021",760
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2022",740
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2023",710
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2024",690
"211 : Manufacture of basic pharmaceutical products","211","group","2019",220
"211 : Manufacture of basic pharmaceutical products","211","group","2020",265
"211 : Manufacture of basic pharmaceutical products","211","group","2021",260
"211 : Manufacture of basic pharmaceutical products","211","group","2022",260
"211 : Manufacture of basic pharmaceutical products","211","group","2023",245
"211 : Manufacture of basic pharmaceutical products","211","group","2024",250
"212 : Manufacture of pharmaceutical preparations","212","group","2019",505
"212 : Manufacture of pharmaceutical preparations","212","group","2020",490
"212 : Manufacture of pharmaceutical preparations","212","group","2021",500
"212 : Manufacture of pharmaceutical preparations","212","group","2022",480
"212 : Manufacture of pharmaceutical preparations","212","group","2023",465
"212 : Manufacture of pharmaceutical preparations","212","group","2024",440
"22 : Manufacture of rubber and plastic products","22","division","2019",5905
"22 : Manufacture of rubber and plastic products","22","division","2020",5860
"22 : Manufacture of rubber and plastic products","22","division","2021",5805
"22 : Manufacture of rubber and plastic products","22","division","2022",5740
"22 : Manufacture of rubber and plastic products","22","division","2023",5555
"22 : Manufacture of rubber and plastic products","22","division","2024",5530
"221 : Manufacture of rubber products","221","group","2019",580
"221 : Manufacture of rubber products","221","group","2020",570
"221 : Manufacture of rubber products","221","group","2021",580
"221 : Manufacture of rubber products","221","group","2022",575
"221 : Manufacture of rubber products","221","group","2023",550
"221 : Manufacture of rubber products","221","group","2024",670
"222 : Manufacture of plastics products","222","group","2019",5325
"222 : Manufacture of plastics products","222","group","2020",5290
"222 : Manufacture of plastics products","222","group","2021",5225
"222 : Manufacture of plastics products","222","group","2022",5165
"222 : Manufacture of plastics products","222","group","2023",5005
"222 : Manufacture of plastics products","222","group","2024",4860
"23 : Manufacture of other non-metallic mineral products","23","division","2019",3985
"23 : Manufacture of other non-metallic mineral products","23","division","2020",4005
"23 : Manufacture of other non-metallic mineral products","23","division","2021",4170
"23 : Manufacture of other non-metallic mineral products","23","division","2022",4605
"23 : Manufacture of other non-metallic mineral products","23","division","2023",4535
"23 : Manufacture of other non-metallic mineral products","23","division","2024",4340
"231 : Manufacture of glass and glass products","231","group","2019",785
"231 : Manufacture of glass and glass products","231","group","2020",775
"231 : Manufacture of glass and glass products","231","group","2021",770
"231 : Manufacture of glass and glass products","231","group","2022",790
"231 : Manufacture of glass and glass products","231","group","2023",775
"231 : Manufacture of glass and glass products","231","group","2024",760
"232 : Manufacture of refractory products","232","group","2019",100
"232 : Manufacture of refractory products","232","group","2020",95
"232 : Manufacture of refractory products","232","group","2021",95
"232 : Manufacture of refractory products","232","group","2022",100
"232 : Manufacture of refractory products","232","group","2023",95
"232 : Manufacture of refractory products","232","group","2024",85
"233 : Manufacture of clay building materials","233","group","2019",190
"233 : Manufacture of clay building materials","233","group","2020",190
"233 : Manufacture of clay building materials","233","group","2021",220
"233 : Manufacture of clay building materials","233","group","2022",315
"233 : Manufacture of clay building materials","233","group","2023",300
"233 : Manufacture of clay building materials","233","group","2024",240
"234 : Manufacture of other porcelain and ceramic products","234","group","2019",315
"234 : Manufacture of other porcelain and ceramic products","234","group","2020",330
"234 : Manufacture of other porcelain and ceramic products","234","group","2021",345
"234 : Manufacture of other porcelain and ceramic products","234","group","2022",380
"234 : Manufacture of other porcelain and ceramic products","234","group","2023",375
"234 : Manufacture of other porcelain and ceramic products","234","group","2024",380
"235 : Manufacture of cement, lime and plaster","235","group","2019",15
"235 : Manufacture of cement, lime and plaster","235","group","2020",15
"235 : Manufacture of cement, lime and plaster","235","group","2021",45
"235 : Manufacture of cement, lime and plaster","235","group","2022",15
"235 : Manufacture of cement, lime and plaster","235","group","2023",10
"235 : Manufacture of cement, lime and plaster","235","group","2024",15
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2019",1080
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2020",1090
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2021",1115
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2022",1330
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2023",1320
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2024",1190
"237 : Cutting, shaping and finishing of stone","237","group","2019",1270
"237 : Cutting, shaping and finishing of stone","237","group","2020",1275
"237 : Cutting, shaping and finishing of stone","237","group","2021",1345
"237 : Cutting, shaping and finishing of stone","237","group","2022",1440
"237 : Cutting, shaping and finishing of stone","237","group","2023",1425
"237 : Cutting, shaping and finishing of stone","237","group","2024",1435
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2019",230
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2020",235
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2021",235
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2022",235
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2023",235
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2024",235
"24 : Manufacture of basic metals","24","division","2019",1985
"24 : Manufacture of basic metals","24","division","2020",1980
"24 : Manufacture of basic metals","24","division","2021",1985
"24 : Manufacture of basic metals","24","division","2022",2020
"24 : Manufacture of basic metals","24","division","2023",2010
"24 : Manufacture of basic metals","24","division","2024",1970
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2019",795
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2020",810
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2021",835
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2022",835
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2023",835
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2024",825
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2019",350
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2020",345
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2021",340
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2022",350
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2023",350
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2024",360
"243 : Manufacture of other products of first processing of steel","243","group","2019",80
"243 : Manufacture of other products of first processing of steel","243","group","2020",75
"243 : Manufacture of other products of first processing of steel","243","group","2021",70
"243 : Manufacture of other products of first processing of steel","243","group","2022",80
"243 : Manufacture of other products of first processing of steel","243","group","2023",70
