"industry_raw","industry_code","industry_level","year","high_growth_enterprises"
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2024",10
"211 : Manufacture of basic pharmaceutical products","211","group","2019",10
"211 : Manufacture of basic pharmaceutical products","211","group","2020",5
"211 : Manufacture of basic pharmaceutical products","211","group","2021",5
"211 : Manufacture of basic pharmaceutical products","211","group","2022",5
"211 : Manufacture of basic pharmaceutical products","211","group","2023",10
"211 : Manufacture of basic pharmaceutical products","211","group","2024",5
"212 : Manufacture of pharmaceutical preparations","212","group","2019",5
"212 : Manufacture of pharmaceutical preparations","212","group","2020",5
"212 : Manufacture of pharmaceutical preparations","212","group","2021",10
"212 : Manufacture of pharmaceutical preparations","212","group","2022",5
"212 : Manufacture of pharmaceutical preparations","212","group","2023",5
"212 : Manufacture of pharmaceutical preparations","212","group","2024",5
"22 : Manufacture of rubber and plastic products","22","division","2019",70
"22 : Manufacture of rubber and plastic products","22","division","2020",75
"22 : Manufacture of rubber and plastic products","22","division","2021",60
"22 : Manufacture of rubber and plastic products","22","division","2022",65
"22 : Manufacture of rubber and plastic products","22","division","2023",65
"22 : Manufacture of rubber and plastic products","22","division","2024",55
"221 : Manufacture of rubber products","221","group","2019",5
"221 : Manufacture of rubber products","221","group","2020",5
"221 : Manufacture of rubber products","221","group","2021",5
"221 : Manufacture of rubber products","221","group","2022",5
"221 : Manufacture of rubber products","221","group","2023",5
"221 : Manufacture of rubber products","221","group","2024",5
"222 : Manufacture of plastics products","222","group","2019",65
"222 : Manufacture of plastics products","222","group","2020",70
"222 : Manufacture of plastics products","222","group","2021",55
"222 : Manufacture of plastics products","222","group","2022",60
"222 : Manufacture of plastics products","222","group","2023",60
"222 : Manufacture of plastics products","222","group","2024",50
"23 : Manufacture of other non-metallic mineral products","23","division","2019",35
"23 : Manufacture of other non-metallic mineral products","23","division","2020",25
"23 : Manufacture of other non-metallic mineral products","23","division","2021",35
"23 : Manufacture of other non-metallic mineral products","23","division","2022",30
"23 : Manufacture of other non-metallic mineral products","23","division","2023",30
"23 : Manufacture of other non-metallic mineral products","23","division","2024",30
"231 : Manufacture of glass and glass products","231","group","2019",10
"231 : Manufacture of glass and glass products","231","group","2020",10
"231 : Manufacture of glass and glass products","231","group","2021",10
"231 : Manufacture of glass and glass products","231","group","2022",10
"231 : Manufacture of glass and glass products","231","group","2023",5
"231 : Manufacture of glass and glass products","231","group","2024",5
"232 : Manufacture of refractory products","232","group","2019",0
"232 : Manufacture of refractory products","232","group","2020",0
"232 : Manufacture of refractory products","232","group","2021",0
"232 : Manufacture of refractory products","232","group","2022",0
"232 : Manufacture of refractory products","232","group","2023",0
"232 : Manufacture of refractory products","232","group","2024",0
"233 : Manufacture of clay building materials","233","group","2019",0
"233 : Manufacture of clay building materials","233","group","2020",0
"233 : Manufacture of clay building materials","233","group","2021",0
"233 : Manufacture of clay building materials","233","group","2022",0
"233 : Manufacture of clay building materials","233","group","2023",0
"233 : Manufacture of clay building materials","233","group","2024",0
"234 : Manufacture of other porcelain and ceramic products","234","group","2019",0
"234 : Manufacture of other porcelain and ceramic products","234","group","2020",0
"234 : Manufacture of other porcelain and ceramic products","234","group","2021",0
"234 : Manufacture of other porcelain and ceramic products","234","group","2022",0
"234 : Manufacture of other porcelain and ceramic products","234","group","2023",0
"234 : Manufacture of other porcelain and ceramic products","234","group","2024",0
"235 : Manufacture of cement, lime and plaster","235","group","2019",0
"235 : Manufacture of cement, lime and plaster","235","group","2020",0
"235 : Manufacture of cement, lime and plaster","235","group","2021",0
"235 : Manufacture of cement, lime and plaster","235","group","2022",0
"235 : Manufacture of cement, lime and plaster","235","group","2023",0
"235 : Manufacture of cement, lime and plaster","235","group","2024",0
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2019",15
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2020",10
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2021",10
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2022",10
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2023",10
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2024",15
"237 : Cutting, shaping and finishing of stone","237","group","2019",5
"237 : Cutting, shaping and finishing of stone","237","group","2020",5
"237 : Cutting, shaping and finishing of stone","237","group","2021",10
"237 : Cutting, shaping and finishing of stone","237","group","2022",5
"237 : Cutting, shaping and finishing of stone","237","group","2023",10
"237 : Cutting, shaping and finishing of stone","237","group","2024",5
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2019",5
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2020",0
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2021",5
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2022",5
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2023",5
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2024",5
"24 : Manufacture of basic metals","24","division","2019",20
"24 : Manufacture of basic metals","24","division","2020",15
"24 : Manufacture of basic metals","24","division","2021",10
"24 : Manufacture of basic metals","24","division","2022",10
"24 : Manufacture of basic metals","24","division","2023",15
"24 : Manufacture of basic metals","24","division","2024",10
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2019",5
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2020",5
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2021",5
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2022",5
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2023",5
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2024",5
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2019",5
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2020",5
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2021",0
