"industry_raw","industry_code","industry_level","year","deaths_of_new_enterprises"
"15 : Manufacture of leather and related products","15","division","2024",85
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2019",60
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2020",55
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2021",45
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2022",55
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2023",65
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2024",60
"152 : Manufacture of footwear","152","group","2019",25
"152 : Manufacture of footwear","152","group","2020",15
"152 : Manufacture of footwear","152","group","2021",25
"152 : Manufacture of footwear","152","group","2022",20
"152 : Manufacture of footwear","152","group","2023",30
"152 : Manufacture of footwear","152","group","2024",25
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2019",960
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2020",730
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2021",690
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2022",1070
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2023",1090
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2024",1000
"161 : Sawmilling and planing of wood","161","group","2019",40
"161 : Sawmilling and planing of wood","161","group","2020",25
"161 : Sawmilling and planing of wood","161","group","2021",25
"161 : Sawmilling and planing of wood","161","group","2022",35
"161 : Sawmilling and planing of wood","161","group","2023",35
"161 : Sawmilling and planing of wood","161","group","2024",35
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2019",920
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2020",705
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2021",665
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2022",1035
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2023",1055
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2024",965
"17 : Manufacture of paper and paper products","17","division","2019",110
"17 : Manufacture of paper and paper products","17","division","2020",85
"17 : Manufacture of paper and paper products","17","division","2021",85
"17 : Manufacture of paper and paper products","17","division","2022",115
"17 : Manufacture of paper and paper products","17","division","2023",120
"17 : Manufacture of paper and paper products","17","division","2024",135
"171 : Manufacture of pulp, paper and paperboard","171","group","2019",25
"171 : Manufacture of pulp, paper and paperboard","171","group","2020",10
