"industry_raw","industry_code","industry_level","year","births_of_new_enterprises"
"139 : Manufacture of other textiles","139","group","2024",310
"14 : Manufacture of wearing apparel","14","division","2019",570
"14 : Manufacture of wearing apparel","14","division","2020",695
"14 : Manufacture of wearing apparel","14","division","2021",680
"14 : Manufacture of wearing apparel","14","division","2022",445
"14 : Manufacture of wearing apparel","14","division","2023",345
"14 : Manufacture of wearing apparel","14","division","2024",310
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2019",555
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2020",665
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2021",655
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2022",435
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2023",335
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2024",300
"142 : Manufacture of articles of fur","142","group","2019",0
"142 : Manufacture of articles of fur","142","group","2020",0
"142 : Manufacture of articles of fur","142","group","2021",0
"142 : Manufacture of articles of fur","142","group","2022",0
"142 : Manufacture of articles of fur","142","group","2023",0
"142 : Manufacture of articles of fur","142","group","2024",0
"143 : Manufacture of knitted and crocheted apparel","143","group","2019",15
"143 : Manufacture of knitted and crocheted apparel","143","group","2020",30
"143 : Manufacture of knitted and crocheted apparel","143","group","2021",25
"143 : Manufacture of knitted and crocheted apparel","143","group","2022",10
"143 : Manufacture of knitted and crocheted apparel","143","group","2023",10
"143 : Manufacture of knitted and crocheted apparel","143","group","2024",10
"15 : Manufacture of leather and related products","15","division","2019",70
"15 : Manufacture of leather and related products","15","division","2020",85
"15 : Manufacture of leather and related products","15","division","2021",90
"15 : Manufacture of leather and related products","15","division","2022",90
"15 : Manufacture of leather and related products","15","division","2023",55
"15 : Manufacture of leather and related products","15","division","2024",70
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2019",55
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2020",70
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2021",65
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2022",60
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2023",40
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2024",60
"152 : Manufacture of footwear","152","group","2019",15
"152 : Manufacture of footwear","152","group","2020",15
"152 : Manufacture of footwear","152","group","2021",25
"152 : Manufacture of footwear","152","group","2022",30
"152 : Manufacture of footwear","152","group","2023",15
"152 : Manufacture of footwear","152","group","2024",10
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2019",925
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2020",945
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2021",1450
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2022",1285
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2023",965
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2024",930
"161 : Sawmilling and planing of wood","161","group","2019",30
"161 : Sawmilling and planing of wood","161","group","2020",25
"161 : Sawmilling and planing of wood","161","group","2021",30
"161 : Sawmilling and planing of wood","161","group","2022",40
"161 : Sawmilling and planing of wood","161","group","2023",35
"161 : Sawmilling and planing of wood","161","group","2024",30
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2019",895
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2020",920
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2021",1420
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2022",1245
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2023",930
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2024",900
"17 : Manufacture of paper and paper products","17","division","2019",125
"17 : Manufacture of paper and paper products","17","division","2020",145
"17 : Manufacture of paper and paper products","17","division","2021",135
"17 : Manufacture of paper and paper products","17","division","2022",145
"17 : Manufacture of paper and paper products","17","division","2023",90
"17 : Manufacture of paper and paper products","17","division","2024",115
"171 : Manufacture of pulp, paper and paperboard","171","group","2019",30
"171 : Manufacture of pulp, paper and paperboard","171","group","2020",25
"171 : Manufacture of pulp, paper and paperboard","171","group","2021",25
"171 : Manufacture of pulp, paper and paperboard","171","group","2022",35
"171 : Manufacture of pulp, paper and paperboard","171","group","2023",10
"171 : Manufacture of pulp, paper and paperboard","171","group","2024",20
"172 : Manufacture of articles of paper and paperboard","172","group","2019",95
"172 : Manufacture of articles of paper and paperboard","172","group","2020",120
"172 : Manufacture of articles of paper and paperboard","172","group","2021",110
"172 : Manufacture of articles of paper and paperboard","172","group","2022",110
"172 : Manufacture of articles of paper and paperboard","172","group","2023",80
"172 : Manufacture of articles of paper and paperboard","172","group","2024",95
"18 : Printing and reproduction of recorded media","18","division","2019",850
"18 : Printing and reproduction of recorded media","18","division","2020",840
"18 : Printing and reproduction of recorded media","18","division","2021",765
"18 : Printing and reproduction of recorded media","18","division","2022",635
"18 : Printing and reproduction of recorded media","18","division","2023",605
"18 : Printing and reproduction of recorded media","18","division","2024",595
"181 : Printing and service activities related to printing","181","group","2019",765
"181 : Printing and service activities related to printing","181","group","2020",775
"181 : Printing and service activities related to printing","181","group","2021",650
"181 : Printing and service activities related to printing","181","group","2022",550
"181 : Printing and service activities related to printing","181","group","2023",535
"181 : Printing and service activities related to printing","181","group","2024",525
"182 : Reproduction of recorded media","182","group","2019",85
"182 : Reproduction of recorded media","182","group","2020",65
"182 : Reproduction of recorded media","182","group","2021",115
"182 : Reproduction of recorded media","182","group","2022",85
"182 : Reproduction of recorded media","182","group","2023",70
"182 : Reproduction of recorded media","182","group","2024",70
"19 : Manufacture of coke and refined petroleum products","19","division","2019",5
"19 : Manufacture of coke and refined petroleum products","19","division","2020",5
"19 : Manufacture of coke and refined petroleum products","19","division","2021",15
"19 : Manufacture of coke and refined petroleum products","19","division","2022",0
"19 : Manufacture of coke and refined petroleum products","19","division","2023",5
"19 : Manufacture of coke and refined petroleum products","19","division","2024",5
"191 : Manufacture of coke oven products","191","group","2019",0
"191 : Manufacture of coke oven products","191","group","2020",0
"191 : Manufacture of coke oven products","191","group","2021",0
"191 : Manufacture of coke oven products","191","group","2022",0
"191 : Manufacture of coke oven products","191","group","2023",0
"191 : Manufacture of coke oven products","191","group","2024",0
"192 : Manufacture of refined petroleum products","192","group","2019",5
"192 : Manufacture of refined petroleum products","192","group","2020",5
"192 : Manufacture of refined petroleum products","192","group","2021",15
"192 : Manufacture of refined petroleum products","192","group","2022",0
"192 : Manufacture of refined petroleum products","192","group","2023",5
"192 : Manufacture of refined petroleum products","192","group","2024",5
"20 : Manufacture of chemicals and chemical products","20","division","2019",350
"20 : Manufacture of chemicals and chemical products","20","division","2020",420
"20 : Manufacture of chemicals and chemical products","20","division","2021",480
"20 : Manufacture of chemicals and chemical products","20","division","2022",490
"20 : Manufacture of chemicals and chemical products","20","division","2023",270
"20 : Manufacture of chemicals and chemical products","20","division","2024",270
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2019",80
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2020",80
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2021",85
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2022",90
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2023",65
