"industry_raw","industry_code","industry_level","year","active_enterprises_10plus_employees"
"139 : Manufacture of other textiles","139","group","2020",640
"139 : Manufacture of other textiles","139","group","2021",660
"139 : Manufacture of other textiles","139","group","2022",650
"139 : Manufacture of other textiles","139","group","2023",645
"139 : Manufacture of other textiles","139","group","2024",630
"14 : Manufacture of wearing apparel","14","division","2019",710
"14 : Manufacture of wearing apparel","14","division","2020",670
"14 : Manufacture of wearing apparel","14","division","2021",635
"14 : Manufacture of wearing apparel","14","division","2022",585
"14 : Manufacture of wearing apparel","14","division","2023",490
"14 : Manufacture of wearing apparel","14","division","2024",445
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2019",635
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2020",605
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2021",570
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2022",530
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2023",440
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2024",395
"142 : Manufacture of articles of fur","142","group","2019",5
"142 : Manufacture of articles of fur","142","group","2020",0
"142 : Manufacture of articles of fur","142","group","2021",0
"142 : Manufacture of articles of fur","142","group","2022",0
"142 : Manufacture of articles of fur","142","group","2023",0
"142 : Manufacture of articles of fur","142","group","2024",0
"143 : Manufacture of knitted and crocheted apparel","143","group","2019",70
"143 : Manufacture of knitted and crocheted apparel","143","group","2020",65
"143 : Manufacture of knitted and crocheted apparel","143","group","2021",65
"143 : Manufacture of knitted and crocheted apparel","143","group","2022",55
"143 : Manufacture of knitted and crocheted apparel","143","group","2023",50
"143 : Manufacture of knitted and crocheted apparel","143","group","2024",50
"15 : Manufacture of leather and related products","15","division","2019",115
"15 : Manufacture of leather and related products","15","division","2020",110
"15 : Manufacture of leather and related products","15","division","2021",105
"15 : Manufacture of leather and related products","15","division","2022",110
"15 : Manufacture of leather and related products","15","division","2023",105
"15 : Manufacture of leather and related products","15","division","2024",105
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2019",75
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2020",65
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2021",65
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2022",65
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2023",65
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2024",65
"152 : Manufacture of footwear","152","group","2019",40
"152 : Manufacture of footwear","152","group","2020",45
"152 : Manufacture of footwear","152","group","2021",40
"152 : Manufacture of footwear","152","group","2022",45
"152 : Manufacture of footwear","152","group","2023",40
"152 : Manufacture of footwear","152","group","2024",40
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2019",1335
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2020",1310
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2021",1330
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2022",1400
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2023",1375
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2024",1335
"161 : Sawmilling and planing of wood","161","group","2019",120
"161 : Sawmilling and planing of wood","161","group","2020",115
"161 : Sawmilling and planing of wood","161","group","2021",120
"161 : Sawmilling and planing of wood","161","group","2022",125
"161 : Sawmilling and planing of wood","161","group","2023",120
"161 : Sawmilling and planing of wood","161","group","2024",120
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2019",1215
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2020",1195
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2021",1210
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2022",1275
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2023",1255
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2024",1215
"17 : Manufacture of paper and paper products","17","division","2019",590
"17 : Manufacture of paper and paper products","17","division","2020",580
"17 : Manufacture of paper and paper products","17","division","2021",565
"17 : Manufacture of paper and paper products","17","division","2022",570
"17 : Manufacture of paper and paper products","17","division","2023",565
"17 : Manufacture of paper and paper products","17","division","2024",560
"171 : Manufacture of pulp, paper and paperboard","171","group","2019",75
"171 : Manufacture of pulp, paper and paperboard","171","group","2020",70
"171 : Manufacture of pulp, paper and paperboard","171","group","2021",75
"171 : Manufacture of pulp, paper and paperboard","171","group","2022",75
"171 : Manufacture of pulp, paper and paperboard","171","group","2023",65
"171 : Manufacture of pulp, paper and paperboard","171","group","2024",65
"172 : Manufacture of articles of paper and paperboard","172","group","2019",515
"172 : Manufacture of articles of paper and paperboard","172","group","2020",510
"172 : Manufacture of articles of paper and paperboard","172","group","2021",490
"172 : Manufacture of articles of paper and paperboard","172","group","2022",495
"172 : Manufacture of articles of paper and paperboard","172","group","2023",500
"172 : Manufacture of articles of paper and paperboard","172","group","2024",495
"18 : Printing and reproduction of recorded media","18","division","2019",1695
"18 : Printing and reproduction of recorded media","18","division","2020",1615
"18 : Printing and reproduction of recorded media","18","division","2021",1495
"18 : Printing and reproduction of recorded media","18","division","2022",1435
"18 : Printing and reproduction of recorded media","18","division","2023",1360
"18 : Printing and reproduction of recorded media","18","division","2024",1305
"181 : Printing and service activities related to printing","181","group","2019",1685
"181 : Printing and service activities related to printing","181","group","2020",1605
"181 : Printing and service activities related to printing","181","group","2021",1485
"181 : Printing and service activities related to printing","181","group","2022",1415
"181 : Printing and service activities related to printing","181","group","2023",1345
"181 : Printing and service activities related to printing","181","group","2024",1295
"182 : Reproduction of recorded media","182","group","2019",10
"182 : Reproduction of recorded media","182","group","2020",10
"182 : Reproduction of recorded media","182","group","2021",10
"182 : Reproduction of recorded media","182","group","2022",20
"182 : Reproduction of recorded media","182","group","2023",15
"182 : Reproduction of recorded media","182","group","2024",10
"19 : Manufacture of coke and refined petroleum products","19","division","2019",45
"19 : Manufacture of coke and refined petroleum products","19","division","2020",40
"19 : Manufacture of coke and refined petroleum products","19","division","2021",40
"19 : Manufacture of coke and refined petroleum products","19","division","2022",40
"19 : Manufacture of coke and refined petroleum products","19","division","2023",45
"19 : Manufacture of coke and refined petroleum products","19","division","2024",45
"191 : Manufacture of coke oven products","191","group","2019",0
"191 : Manufacture of coke oven products","191","group","2020",0
"191 : Manufacture of coke oven products","191","group","2021",0
"191 : Manufacture of coke oven products","191","group","2022",0
"191 : Manufacture of coke oven products","191","group","2023",0
"191 : Manufacture of coke oven products","191","group","2024",0
"192 : Manufacture of refined petroleum products","192","group","2019",45
"192 : Manufacture of refined petroleum products","192","group","2020",40
"192 : Manufacture of refined petroleum products","192","group","2021",40
"192 : Manufacture of refined petroleum products","192","group","2022",40
"192 : Manufacture of refined petroleum products","192","group","2023",45
"192 : Manufacture of refined petroleum products","192","group","2024",45
"20 : Manufacture of chemicals and chemical products","20","division","2019",970
"20 : Manufacture of chemicals and chemical products","20","division","2020",990
"20 : Manufacture of chemicals and chemical products","20","division","2021",1005
"20 : Manufacture of chemicals and chemical products","20","division","2022",990
"20 : Manufacture of chemicals and chemical products","20","division","2023",995
"20 : Manufacture of chemicals and chemical products","20","division","2024",970
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2019",315
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2020",315
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2021",315
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2022",315
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2023",320
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2024",330
"202 : Manufacture of pesticides and other agrochemical products","202","group","2019",25
"202 : Manufacture of pesticides and other agrochemical products","202","group","2020",30
"202 : Manufacture of pesticides and other agrochemical products","202","group","2021",30
"202 : Manufacture of pesticides and other agrochemical products","202","group","2022",30
"202 : Manufacture of pesticides and other agrochemical products","202","group","2023",30
"202 : Manufacture of pesticides and other agrochemical products","202","group","2024",25
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2019",150
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2020",145
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2021",140
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2022",140
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2023",145
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2024",135
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2019",255
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2020",275
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2021",285
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2022",275
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2023",280
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2024",270
"205 : Manufacture of other chemical products","205","group","2019",220
"205 : Manufacture of other chemical products","205","group","2020",220
"205 : Manufacture of other chemical products","205","group","2021",230
"205 : Manufacture of other chemical products","205","group","2022",225
"205 : Manufacture of other chemical products","205","group","2023",215
"205 : Manufacture of other chemical products","205","group","2024",205
"206 : Manufacture of man-made fibres","206","group","2019",5
"206 : Manufacture of man-made fibres","206","group","2020",5
"206 : Manufacture of man-made fibres","206","group","2021",5
"206 : Manufacture of man-made fibres","206","group","2022",5
"206 : Manufacture of man-made fibres","206","group","2023",5
"206 : Manufacture of man-made fibres","206","group","2024",5
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2019",200
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2020",210
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2021",215
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2022",195
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2023",200
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2024",205
"211 : Manufacture of basic pharmaceutical products","211","group","2019",50
"211 : Manufacture of basic pharmaceutical products","211","group","2020",55
"211 : Manufacture of basic pharmaceutical products","211","group","2021",60
